MSV,TH01001,QS01002,QS01001,ML01003,ML01002,ML01004,QS01003,TH01004,ML01005,TH02014,TH01003,GT01016,TH03033,CD02612,TH02016,TH01002,TH01006,ML01001,TH03065,TH03109,TH01023,TH03013,TH01007,MT02011,SN00011,TH02039,TH03002,TH03106,TH03020,TH02033,ML01009,KT01003,TH01005,SN01032,TH02012,TH02001,TH02009,TH03111,TH03311,SN01033,TH03312,TH03061,KQ03212,TH03107,TH03034,TH02037,TH03306,TH03046,TH03112,TH03115,TH03304,KN01004,GT01023,TH02036,TH02015,SN03039,TH01024,TH01029,QS01012,SN00010,TH01022,TH02034,QS01011,GT01022,KN01003,TH03203,TH02035,KN01002,KN01001,KT03024,TH02034*,TH01025,GT01018,GT01016*,SN00011*,TH03303,TH02016*,KQ02014,TH02035*,SN00011**,CD03909,TH03301,TH03105,KT03024*,TH02041,TH02034**,TH03119,TH02035**,TH03109*,TH02016**,TH03399,TH02038,TH03302,KN01006,TH03102,TH03103,SN01032*,TH03108,CD03906,TH03113,TH02038*,TH03104,TH02001*,TH01025*,SN01032**,TH03101,TH03116,TH03106*,TH03108*,TH03114,TH03110,TH03199,TH01006*,TH01001*,TH03209,KN01005,GT01020,TH03214,TH03201,TH03210,TH03206,TH03205,TH03211,TH03215,TH03298,TH03216,TH03299,TH03212,GT01019,GT01017,TH01023*,TH02037*,TH01024*,TH03115*,TH02036*,TH02041*,KN01001*,SN01033*,TH01029*,TH03118,KN01004*,ML01002*,QS01003*,TH03204,GT01021,ML01001*,TH03107*,GT01023*,PTH03105,TH02015*,TH01026,TH03111*,TH03217,TH03207,TH03206*,KN01003*,TH02039*,TH01023**,TH02001**,TH01007*,TH03008,ML01005*,ML01005**,TH02036**,TH03312*,TH01007**,TH02036***,KN01005*,TH03210*,TH01006**,TH01024**,KQ02014*,KQ02014**,TH03311*,TH03305,TH03124,TH03125,TH03313,TH03314,TH03224,TH03226,TH03126,TH03307,GT01019*,TH01022*,TH01022**,GT01022*,GT01021*
614287, 7.3, 5.3, 4.6, 6.0, 5.2, 7.9, 7.0, 5.4, 5.5, 7.0, 7.0,10.0, 4.9, 5.6, 6.0, 4.5, 7.8, 5.6, 7.6, 8.1, 8.5, 8.3, 8.4, 6.5, 6.0, 5.2, 6.5, 4.0, 8.6, 8.8, 5.5, 8.9, 9.6, 7.6,10.0, 8.5, 9.6, 7.5, 9.1, 8.2, 7.5, 7.1, 8.1, 9.0, 9.4, 7.0,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621047, 5.8,,,, 6.3, 5.6, 8.5,, 7.0,,, 3.5,,, 1.1,, 7.9, 6.8,, 4.6, 4.9,, 6.3, 6.0, 2.8, 7.0,,,, 0.0, 8.2,,, 4.9,, 5.5,, 4.1, 6.5, 6.0, 6.3,,, 4.0,, 6.8,   ,, 3.2,, 8.5,,, 4.3, 4.2,   , 4.3, 6.0, 6.0,   , 6.0, 2.9, 4.9, 6.4, 8.1, 1.9, 1.1, 7.1, 7.8, 2.6, 2.8, 8.0, 6.2, 5.6, 3.4, 6.6, 2.1, 5.7, 1.7, 5.2, 8.1, 7.7, 7.5, 8.2, 7.3, 7.0, 1.7, 9.5, 5.7, 5.2,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621068, 3.0,,,, 5.8, 6.0, 6.8,, 6.1,,, 7.3,,, 0.6,, 4.6, 5.1,, 6.1, 6.2,, 6.7, 6.7, 4.6, 5.4,, 2.7,,, 7.6,,, 3.3,, 2.8,,,, 6.5,,,, 4.8,, 4.2,,,, 3.6,, 8.6, 6.9, 6.8, 4.8,   , 4.2, 6.1, 7.2,   , 6.7, 5.4, 5.4, 6.1,,, 0.8,, 6.9, 7.3,, 3.3,,,,, 4.0,, 3.6,,,, 6.9,, 6.3,,, 7.1,,,, 3.6,, 7.4, 6.2, 6.5, 3.7, 2.2, 4.6, 6.5, 7.3, 9.4, 8.3, 8.7, 6.3, 6.9, 7.5, 6.7, 5.8, 6.0, 8.0,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621079, 5.1,,,, 6.6, 5.5, 7.6,, 6.4,,, 4.7,,, 2.4,, 4.4, 5.7,,, 6.3,, 4.4, 4.8, 6.4, 9.1,, 2.3,,, 6.1,,, 3.5,, 5.8,,,, 5.0, 6.7,,,,, 4.8,,,,,,, 7.5, 5.2, 7.2,   , 4.1, 5.0, 6.2,   , 5.0, 3.4, 6.6,,, 6.3, 6.7, 8.4, 6.7, 6.7,   , 7.0,,, 3.5,, 4.8,,,, 5.1,,,,   ,,,,,,, 5.8,,,,, 4.8,,,,,,,,,,,   ,,,,, 8.6,, 7.3, 8.2, 5.9, 7.1, 6.4, 6.8, 7.1, 7.8, 0.0, 6.4, 7.0, 5.0, 7.0, 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621084, 3.9,,,, 5.5, 5.4, 6.7,, 5.7,,, 4.5,,, 3.1,, 2.8, 4.7,,   , 2.7,, 7.5, 6.0, 5.7,   ,, 4.0,,, 6.8,,, 3.7,, 4.0,,   ,, 7.2, 5.3,,, 5.8,, 3.0,,,, 3.6,, 8.1,, 4.5, 4.4,   , 3.4, 4.3, 5.4,   , 5.3, 2.0, 5.4,,,, 4.3,, 6.4, 8.0, 4.0, 4.6,,,,,,,,,,, 5.6,,   ,,,,,,, 3.9,,, 5.1, 5.5, 5.0, 5.1, 4.0,, 4.4, 7.4,,,, 6.7,,,, 3.7,,, 6.0,   ,, 6.0,,,,,,,,,,,,, 6.8, 5.6, 8.5, 6.2,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621087, 2.5,   ,,, 5.0, 4.3, 4.6,, 5.7,,, 5.5,,, 2.0,, 0.9, 5.3,,   , 2.8,, 4.2, 6.3, 5.0, 4.6,, 1.8,,, 5.9,,, 4.3,, 3.0, 4.1,   ,, 3.0,,,, 4.0,, 3.3,,,, 5.6,, 0.0,, 3.9,,   , 4.1, 2.0, 4.9,   , 5.4, 2.7, 4.7,,,, 0.4,, 2.9, 5.2, 0.0,,,,,, 3.1,,,,,, 2.6,, 2.0,   ,,,,,, 4.9,,   , 5.3, 5.0,, 3.4,,,, 8.3, 6.7,,, 5.8,,,, 0.0,,, 5.1,   ,,   , 6.9,,,, 5.6,,,,,,,, 6.0,, 4.0, 4.0,,, 5.7, 4.6, 0.0, 7.3, 5.8,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621111, 6.3,,,, 2.5, 5.0, 0.0,, 5.9,,, 6.1,,, 2.0,, 4.0, 5.5,, 5.6, 2.1,, 6.3, 5.5, 4.9, 4.8,, 4.3,,, 5.4,,, 4.1,, 4.0,,,, 5.0,   ,,, 7.5,, 4.5,,, 3.4, 5.1,, 6.8,, 4.8, 3.8,   , 4.1, 4.1, 4.8,   , 5.7, 4.0, 6.2, 6.1,,, 4.0,   ,, 6.8,, 5.2,,,,,   , 2.1,,,,, 3.2,, 3.9,,,,,,,   ,,, 4.2, 5.7,, 4.7, 5.5, 4.6,, 8.5,, 0.0,, 6.0, 7.1,,, 4.1,,   , 7.8,,, 7.3,,,,,,,,,,,,, 5.0,, 8.5, 6.3,,,,,,,,,, 5.6, 6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621120, 3.5,,,, 4.5, 6.0, 4.8,, 6.5,,, 3.6,,, 2.5,, 1.5, 2.4,, 0.0, 4.1,, 4.0, 5.0,   ,   ,,,,, 5.8,,, 0.0,, 4.2,, 3.8, 2.5,, 3.1,,, 3.6,, 3.5,   ,, 4.0,, 6.2,, 0.0, 5.8, 3.2,   , 2.2, 4.6, 5.9,   , 5.5, 3.4,   , 6.9,,,,, 0.0, 6.1,   , 2.8,, 5.2, 5.5, 6.7,, 5.6,,, 3.4, 5.2,,, 0.0,,,,,,, 4.2,,,,, 4.0,,,,,,, 0.0,   ,,,,,,,, 7.1,,, 0.0,,,,,,,,,,,,, 2.6,,,, 6.1,,,,,,,,,,, 3.1, 1.5, 5.5, 4.5, 6.3,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621121, 4.2,,,, 4.8, 5.1, 7.0,, 4.5,,, 1.8,,, 3.4,, 1.6, 5.5,, 7.7, 4.1,, 6.7, 5.7, 4.7,   ,, 4.7,,, 5.2,,, 4.7,, 3.0,,,, 7.6,,,, 3.5,, 2.5,,,, 4.5,, 6.3, 6.2, 4.8, 8.2,   , 2.6, 3.1, 5.0,   , 5.0, 3.6, 5.3,,,, 4.3,, 5.3, 7.3, 4.7, 3.3,, 4.4,,,,,,,,, 4.6,, 0.0,,,,,,,   ,,,, 5.8,, 5.5, 3.4,,, 7.0,   ,   ,, 6.5,   ,,, 3.6,,,,,, 7.2,,,,,,,,,,,,, 7.1,,, 3.4,   ,,,   ,,,,,,,,,,, 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621126, 4.7,,,, 5.9, 7.8, 7.0,, 6.6,,, 3.4,,, 0.7,, 2.0, 5.3,,, 2.8,, 4.2,   , 4.6, 8.7,, 4.0,,, 6.9,,,   ,, 2.7,,   ,, 4.9,   ,, 7.3, 2.9,, 2.7,,,,,, 0.0, 4.2, 4.7, 3.2,   , 1.5, 4.4, 7.3,   , 4.8, 2.8, 5.1,,   , 3.2, 1.4,, 8.5, 5.0, 5.0, 7.8,, 5.5,,, 3.2,, 4.1,, 4.2,,,, 4.0,,,,,,, 5.3,,,,, 4.0,,,,,,   ,,,,,,,,,, 8.1,, 5.5,,, 4.6, 6.6, 5.6,   , 5.6,   , 5.0,   , 5.5,,, 5.4,,   , 5.3, 4.3,,,,,,,,,,,,,,,,, 5.1,,, 5.3,R,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
